Aberdeen, Aberdeen City, UK: 57, -2
Abilene, TX, USA: 32, -99
Akron, OH, USA: 41, -81
Albany, NY, USA: 42, -73
Albuquerque, NM, USA: 35, -106
Alexandria, VA, USA: 38, -77
Allentown, PA, USA: 40, -75
Amarillo, TX, USA: 35, -101
Anaheim, CA, USA: 33, -117
Anchorage, AK, USA: 61, -149
Ann Arbor, MI, USA: 42, -83
Antioch, CA, USA: 38, -121
Apple Valley, CA, USA: 34, -117
Appleton, WI, USA: 44, -88
Arlington, TX, USA: 32, -97
Arvada, CO, USA: 39, -105
Asheville, NC, USA: 35, -82
Athens, Greece: 37, 23
Atlanta, GA, USA: 33, -84
Atlantic City, NJ, USA: 39, -74
Augusta, GA, USA: 33, -82
Aurora, CO, USA: 39, -104
Austin, TX, USA: 30, -97
Bakersfield, CA, USA: 35, -119
Baltimore, MD, USA: 39, -76
Barnstable, MA, USA: 41, -70
Baton Rouge, LA, USA: 30, -91
Beaumont, TX, USA: 30, -94
Bel Air, Mauritius: -20, 57
Bellevue, WA, USA: 47, -122
Berkeley, CA, USA: 37, -122
Bethlehem, PA, USA: 40, -75
Billings, MT, USA: 45, -108
Birmingham, AL, USA: 33, -86
Bloomington, IN, USA: 39, -86
Boise, ID, USA: 43, -116
Boise, ID, USA: 43, -116
Bonita Springs, FL, USA: 26, -81
Boston, MA, USA: 42, -71
Boulder, CO, USA: 40, -105
Bradenton, FL, USA: 27, -82
Bremerton, WA, USA: 47, -122
Bridgeport, CT, USA: 41, -73
Brighton, The City of Brighton and Hove, UK: 50, 0
Brownsville, TX, USA: 25, -97
Bryan, TX, USA: 30, -96
Buffalo, NY, USA: 42, -78
Burbank, CA, USA: 34, -118
Burlington, VT, USA: 44, -73
Cambridge, MA, USA: 42, -71
Guangzhou, Guangdong, China: 23, 113
Cape Coral, FL, USA: 26, -81
Carrollton, TX, USA: 32, -96
Cary, NC, USA: 35, -78
Cathedral City, CA, USA: 33, -116
Cedar Rapids, IA, USA: 41, -91
Champaign, IL, USA: 40, -88
Chandler, AZ, USA: 33, -111
Charleston, SC, USA: 32, -79
Charlotte, NC, USA: 35, -80
Chattanooga, TN, USA: 35, -85
Chesapeake, VA, USA: 36, -76
Chicago, IL, USA: 41, -87
Chula Vista, CA, USA: 32, -117
Cincinnati, OH, USA: 39, -84
Clarke County Airport, Quitman, MS 39355, USA: 32, -88
Clarksville, TN, USA: 36, -87
Clearwater, FL, USA: 27, -82
Cleveland, OH, USA: 41, -81
College Station, TX, USA: 30, -96
Colorado Springs, CO, USA: 38, -104
Colombia: 4, -74
Columbus, OH, USA: 39, -82
Concord, CA, USA: 37, -122
Coral Springs, FL, USA: 26, -80
Corona, CA, USA: 33, -117
Corpus Christi, TX, USA: 27, -97
Costa Mesa, CA, USA: 33, -117
Dallas, TX, USA: 32, -96
Daly City, CA, USA: 37, -122
Danbury, CT, USA: 41, -73
Davenport, IA, USA: 41, -90
Davidson County, NC, USA: 35, -80
Dayton, OH, USA: 39, -84
Daytona Beach, FL, USA: 29, -81
Deltona, FL, USA: 28, -81
Denton, TX, USA: 33, -97
Denver, CO, USA: 39, -104
Des Moines, IA, USA: 41, -93
Detroit, MI, USA: 42, -83
Downey, CA, USA: 33, -118
Duluth, MN, USA: 46, -92
Durham, NC, USA: 35, -78
El Monte, CA, USA: 34, -118
El Paso, TX, USA: 31, -106
Elizabeth, NJ, USA: 40, -74
Elk Grove, CA, USA: 38, -121
Elkhart, IN, USA: 41, -85
Erie, PA, USA: 42, -80
Escondido, CA, USA: 33, -117
Eugene, OR, USA: 44, -123
Evansville, IN, USA: 37, -87
Fairfield, CA, USA: 38, -122
Fargo, ND, USA: 46, -96
Fayetteville, AR, USA: 36, -94
Fitchburg, MA, USA: 42, -71
Flint, MI, USA: 43, -83
Fontana, CA, USA: 34, -117
Fort Collins, CO, USA: 40, -105
Fort Lauderdale, FL, USA: 26, -80
Fort Smith, AR, USA: 35, -94
Fort Walton Beach, FL, USA: 30, -86
Fort Wayne, IN, USA: 41, -85
Fort Worth, TX, USA: 32, -97
Frederick, MD, USA: 39, -77
Fremont, CA, USA: 37, -121
Fresno, CA, USA: 36, -119
Fullerton, CA, USA: 33, -117
Gainesville, FL, USA: 29, -82
Garden Grove, CA, USA: 33, -117
Garland, TX, USA: 32, -96
Gastonia, NC, USA: 35, -81
Gilbert, AZ, USA: 33, -111
Glendale, CA, USA: 34, -118
Grand Prairie, TX, USA: 32, -96
Grand Rapids, MI, USA: 42, -85
Grayslake, IL, USA: 42, -88
Green Bay, WI, USA: 44, -88
Green Bay, WI, USA: 44, -88
Greensboro, NC, USA: 36, -79
Greenville, SC, USA: 34, -82
Gulfport-Biloxi International Airport, 14035 Airport Road, Gulfport, MS 39503, USA: 30, -89
Hagerstown, MD, USA: 39, -77
Hampton, VA, USA: 37, -76
Harlingen, The Netherlands: 53, 5
Harrisburg, PA, USA: 40, -76
Hartford, CT, USA: 41, -72
Havre de Grace, MD, USA: 39, -76
Hayward, CA, USA: 37, -122
Hemet, CA, USA: 33, -116
Henderson, NV, USA: 36, -114
Hesperia, CA, USA: 34, -117
Hialeah, FL, USA: 25, -80
Hickory, NC, USA: 35, -81
High Point, NC, USA: 35, -80
Hollywood, Los Angeles, CA, USA: 34, -118
Honolulu, HI, USA: 21, -157
Houma, LA, USA: 29, -90
Houston, TX, USA: 29, -95
Howell, MI, USA: 42, -83
Huntington, WV, USA: 38, -82
Huntington Beach, CA, USA: 33, -117
Huntsville, AL, USA: 34, -86
Independence, MO, USA: 39, -94
Indianapolis, IN, USA: 39, -86
Inglewood, CA, USA: 33, -118
Irvine, CA, USA: 33, -117
Irving, TX, USA: 32, -96
Jackson, MS, USA: 32, -90
Jacksonville, FL, USA: 30, -81
Mount Jefferson, Oregon, USA: 44, -121
Jersey City, NJ, USA: 40, -74
Johnson City, TN, USA: 36, -82
Joliet, IL, USA: 41, -88
Kailua, HI, USA: 21, -157
Kalamazoo, MI, USA: 42, -85
